ID,Station (ft),Velocity 'Max' (feet/sec)
1222,835.393,9.733
1223,835.779,9.749
1224,836.556,9.783
1225,836.567,9.784
1226,836.717,9.794
1227,837.359,9.859
1228,838.195,9.984
1229,838.999,10.087
1230,839.052,10.091
1231,839.916,10.016
1232,840.371,9.84
1233,840.634,9.705
1234,840.779,9.627
1235,841.632,9.203
1236,842.227,8.962
1237,842.471,8.877
1238,843.304,8.893
1239,844.142,8.983
1240,844.989,9.152
1241,845.416,9.218
1242,845.823,9.311
1243,845.844,9.317
1244,846.707,9.544
1245,847.57,9.778
1246,848.434,9.988
1247,849.298,10.085
1248,850.162,10.192
1249,850.592,10.25
1250,850.74,10.27
1251,851.023,10.292
1252,851.872,10.278
1253,852.706,10.155
1254,853.526,9.952
1255,854.342,9.726
1256,855.153,9.542
1257,855.552,9.486
1258,855.951,9.436
1259,856.344,9.409
1260,856.736,9.39
1261,857.519,9.369
1262,858.303,9.329
1263,859.097,9.249
1264,859.205,9.236
1265,859.926,9.075
1266,860.798,8.848
1267,861.682,8.51
1268,862.024,8.375
1269,862.277,8.277
1270,862.581,8.161
1271,863.519,7.885
1272,863.711,7.839
1273,864.464,7.734
1274,864.626,7.731
1275,865.349,7.729
1276,866.157,7.734
1277,866.922,7.749
1278,867.68,7.775
1279,868.449,7.839
1280,869.235,7.906
1281,870.037,7.974
1282,870.78,8.036
1283,870.851,8.053
1284,871.662,8.273
1285,872.058,8.399
1286,872.454,8.531
1287,872.705,8.608
1288,872.782,8.631
1289,872.812,8.639
1290,872.833,8.645
1291,873.213,8.744
1292,873.947,8.867
1293,874.68,8.918
1294,875.434,8.948
1295,875.619,8.947
1296,875.69,8.949
1297,875.824,8.954
1298,876.024,8.961
1299,876.215,8.968
1300,877.003,8.997
1301,877.087,9
1302,877.138,9.002
1303,877.785,9.027
1304,878.579,9.058
1305,879.415,9.074
1306,879.611,9.075
1307,880.296,9.085
1308,881.201,9.104
1309,882.113,9.131
1310,882.189,9.134
1311,883.026,9.29
1312,883.483,9.376
1313,883.939,9.416
1314,884.282,9.471
1315,884.424,9.494
1316,884.852,9.636
1317,885.764,9.734
1318,886.676,9.964
1319,887.593,9.899
1320,888.514,9.88
1321,888.976,9.848
1322,889.438,9.826
1323,890.364,9.787
1324,890.93,9.764
1325,891.288,9.721
1326,892.211,9.617
1327,893.122,9.537
1328,894.015,9.495
1329,894.887,9.497
1330,895.213,9.512
1331,895.746,9.538
1332,896.574,9.578
1333,896.602,9.579
1334,897.464,9.63
1335,898.331,9.679
1336,899.204,9.719
1337,900.086,9.748
1338,900.178,9.75
1339,900.984,9.767
1340,901.897,9.787
1341,902.822,9.808
1342,903.755,9.923
1343,904.554,10.072
1344,904.689,10.1
1345,904.881,10.142
1346,905.624,10.32
1347,905.993,10.417
1348,906.559,10.675
1349,907.494,10.945
1350,908.429,11.109
1351,909.364,11.183
